question_generation: 25903.597950935364 ms; count=90; bytes=0
initial_raw_persistence: 24.22499656677246 ms; count=1; bytes=0
admission_and_persistence: 11359.31408405304 ms; count=90; bytes=0
raw_persistence: 47.003984451293945 ms; count=90; bytes=2022068
snapshot_decode: 24.641036987304688 ms; count=90; bytes=2022068
document_open: 10457.215070724487 ms; count=90; bytes=2022068
snapshot_decode: 22.52805233001709 ms; count=90; bytes=2022068
document_open: 10437.304019927979 ms; count=90; bytes=2022068
snapshot_decode: 21.18396759033203 ms; count=90; bytes=2022068
document_open: 10342.705965042114 ms; count=90; bytes=2022068
snapshot_decode: 21.165966987609863 ms; count=90; bytes=2022068
document_open: 10287.927985191345 ms; count=90; bytes=2022068
snapshot_decode: 21.19302749633789 ms; count=90; bytes=2022068
document_open: 10378.805994987488 ms; count=90; bytes=2022068
snapshot_decode: 21.38805389404297 ms; count=90; bytes=2022068
document_open: 10322.72207736969 ms; count=90; bytes=2022068
snapshot_decode: 21.088004112243652 ms; count=90; bytes=2022068
document_open: 10422.34194278717 ms; count=90; bytes=2022068
snapshot_decode: 21.34692668914795 ms; count=90; bytes=2022068
document_open: 10451.328039169312 ms; count=90; bytes=2022068
snapshot_decode: 21.241068840026855 ms; count=90; bytes=2022068
document_open: 10297.33693599701 ms; count=90; bytes=2022068
snapshot_decode: 21.613001823425293 ms; count=90; bytes=2022068
document_open: 10263.399004936218 ms; count=90; bytes=2022068
connection_index: 880.2050352096558 ms; count=314; bytes=0
connection_query: 112.84208297729492 ms; count=2; bytes=0
teach_analysis: 7.63094425201416 ms; count=1; bytes=0
reader_availability: 0.07295608520507812 ms; count=1; bytes=0
connection_query: 111.69397830963135 ms; count=2; bytes=0
teach_analysis: 5.962014198303223 ms; count=1; bytes=0
reader_availability: 0.052928924560546875 ms; count=1; bytes=0
connection_query: 112.90097236633301 ms; count=2; bytes=0
teach_analysis: 5.879998207092285 ms; count=1; bytes=0
reader_availability: 0.051021575927734375 ms; count=1; bytes=0
connection_query: 111.86003684997559 ms; count=2; bytes=0
teach_analysis: 5.952000617980957 ms; count=1; bytes=0
reader_availability: 0.054955482482910156 ms; count=1; bytes=0
connection_query: 112.66803741455078 ms; count=2; bytes=0
teach_analysis: 5.856990814208984 ms; count=1; bytes=0
reader_availability: 0.06496906280517578 ms; count=1; bytes=0
connection_query: 113.45303058624268 ms; count=2; bytes=0
teach_analysis: 6.322979927062988 ms; count=1; bytes=0
reader_availability: 0.05698204040527344 ms; count=1; bytes=0
connection_query: 114.40598964691162 ms; count=2; bytes=0
teach_analysis: 5.879044532775879 ms; count=1; bytes=0
reader_availability: 0.054955482482910156 ms; count=1; bytes=0
connection_query: 112.91897296905518 ms; count=2; bytes=0
teach_analysis: 5.98597526550293 ms; count=1; bytes=0
reader_availability: 0.053048133850097656 ms; count=1; bytes=0
connection_query: 113.48605155944824 ms; count=2; bytes=0
teach_analysis: 6.247043609619141 ms; count=1; bytes=0
reader_availability: 0.05698204040527344 ms; count=1; bytes=0
connection_query: 121.22702598571777 ms; count=2; bytes=0
teach_analysis: 6.119966506958008 ms; count=1; bytes=0
reader_availability: 0.05602836608886719 ms; count=1; bytes=0
connection_query: 113.87908458709717 ms; count=2; bytes=0
teach_analysis: 6.175041198730469 ms; count=1; bytes=0
reader_availability: 0.05698204040527344 ms; count=1; bytes=0
connection_query: 115.06402492523193 ms; count=2; bytes=0
teach_analysis: 5.993008613586426 ms; count=1; bytes=0
reader_availability: 0.05602836608886719 ms; count=1; bytes=0
connection_query: 112.59901523590088 ms; count=2; bytes=0
teach_analysis: 5.999922752380371 ms; count=1; bytes=0
reader_availability: 0.05507469177246094 ms; count=1; bytes=0
connection_query: 113.13903331756592 ms; count=2; bytes=0
teach_analysis: 5.910038948059082 ms; count=1; bytes=0
reader_availability: 0.05602836608886719 ms; count=1; bytes=0
connection_query: 126.63793563842773 ms; count=2; bytes=0
teach_analysis: 6.016016006469727 ms; count=1; bytes=0
reader_availability: 0.06103515625 ms; count=1; bytes=0
connection_query: 114.82298374176025 ms; count=2; bytes=0
teach_analysis: 5.998015403747559 ms; count=1; bytes=0
reader_availability: 0.05698204040527344 ms; count=1; bytes=0
connection_query: 112.90609836578369 ms; count=2; bytes=0
teach_analysis: 5.886077880859375 ms; count=1; bytes=0
reader_availability: 0.052928924560546875 ms; count=1; bytes=0
connection_query: 112.66493797302246 ms; count=2; bytes=0
teach_analysis: 5.948901176452637 ms; count=1; bytes=0
reader_availability: 0.05507469177246094 ms; count=1; bytes=0
connection_query: 115.95404148101807 ms; count=2; bytes=0
teach_analysis: 6.296038627624512 ms; count=1; bytes=0
reader_availability: 0.05793571472167969 ms; count=1; bytes=0
connection_query: 123.08001518249512 ms; count=2; bytes=0
teach_analysis: 6.18898868560791 ms; count=1; bytes=0
reader_availability: 0.054001808166503906 ms; count=1; bytes=0
