question_generation: 2133.2030296325684 ms; count=90; bytes=0
initial_raw_persistence: 19.132018089294434 ms; count=1; bytes=0
admission_and_persistence: 1689.4710063934326 ms; count=90; bytes=0
raw_persistence: 46.640992164611816 ms; count=90; bytes=2022420
snapshot_decode: 23.47695827484131 ms; count=90; bytes=2022420
document_open: 116.81699752807617 ms; count=90; bytes=2022420
snapshot_decode: 23.895978927612305 ms; count=90; bytes=2022420
document_open: 67.78192520141602 ms; count=90; bytes=2022420
snapshot_decode: 25.02000331878662 ms; count=90; bytes=2022420
document_open: 69.75698471069336 ms; count=90; bytes=2022420
snapshot_decode: 23.409008979797363 ms; count=90; bytes=2022420
document_open: 74.57494735717773 ms; count=90; bytes=2022420
snapshot_decode: 24.631977081298828 ms; count=90; bytes=2022420
document_open: 71.7160701751709 ms; count=90; bytes=2022420
snapshot_decode: 22.601962089538574 ms; count=90; bytes=2022420
document_open: 75.01399517059326 ms; count=90; bytes=2022420
snapshot_decode: 25.676965713500977 ms; count=90; bytes=2022420
document_open: 77.2479772567749 ms; count=90; bytes=2022420
snapshot_decode: 25.094032287597656 ms; count=90; bytes=2022420
document_open: 75.81305503845215 ms; count=90; bytes=2022420
snapshot_decode: 24.971961975097656 ms; count=90; bytes=2022420
document_open: 72.76701927185059 ms; count=90; bytes=2022420
snapshot_decode: 23.50902557373047 ms; count=90; bytes=2022420
document_open: 73.58002662658691 ms; count=90; bytes=2022420
connection_index: 966.9020175933838 ms; count=314; bytes=0
connection_query: 118.35002899169922 ms; count=2; bytes=0
teach_analysis: 8.056998252868652 ms; count=1; bytes=0
reader_availability: 0.054955482482910156 ms; count=1; bytes=0
connection_query: 121.25301361083984 ms; count=2; bytes=0
teach_analysis: 7.167935371398926 ms; count=1; bytes=0
reader_availability: 0.06210803985595703 ms; count=1; bytes=0
connection_query: 125.38409233093262 ms; count=2; bytes=0
teach_analysis: 6.312012672424316 ms; count=1; bytes=0
reader_availability: 0.06902217864990234 ms; count=1; bytes=0
connection_query: 134.02295112609863 ms; count=2; bytes=0
teach_analysis: 6.7130327224731445 ms; count=1; bytes=0
reader_availability: 0.06902217864990234 ms; count=1; bytes=0
connection_query: 126.74093246459961 ms; count=2; bytes=0
teach_analysis: 6.836056709289551 ms; count=1; bytes=0
reader_availability: 0.05507469177246094 ms; count=1; bytes=0
connection_query: 119.87197399139404 ms; count=2; bytes=0
teach_analysis: 6.504058837890625 ms; count=1; bytes=0
reader_availability: 0.06604194641113281 ms; count=1; bytes=0
connection_query: 121.31106853485107 ms; count=2; bytes=0
teach_analysis: 6.5670013427734375 ms; count=1; bytes=0
reader_availability: 0.054001808166503906 ms; count=1; bytes=0
connection_query: 118.05295944213867 ms; count=2; bytes=0
teach_analysis: 6.5460205078125 ms; count=1; bytes=0
reader_availability: 0.05507469177246094 ms; count=1; bytes=0
connection_query: 116.7210340499878 ms; count=2; bytes=0
teach_analysis: 6.124019622802734 ms; count=1; bytes=0
reader_availability: 0.05602836608886719 ms; count=1; bytes=0
connection_query: 123.49295616149902 ms; count=2; bytes=0
teach_analysis: 6.575942039489746 ms; count=1; bytes=0
reader_availability: 0.054955482482910156 ms; count=1; bytes=0
connection_query: 116.51098728179932 ms; count=2; bytes=0
teach_analysis: 6.149053573608398 ms; count=1; bytes=0
reader_availability: 0.054001808166503906 ms; count=1; bytes=0
connection_query: 115.1130199432373 ms; count=2; bytes=0
teach_analysis: 6.293892860412598 ms; count=1; bytes=0
reader_availability: 0.08893013000488281 ms; count=1; bytes=0
connection_query: 116.24002456665039 ms; count=2; bytes=0
teach_analysis: 6.170988082885742 ms; count=1; bytes=0
reader_availability: 0.05710124969482422 ms; count=1; bytes=0
connection_query: 114.75598812103271 ms; count=2; bytes=0
teach_analysis: 6.042003631591797 ms; count=1; bytes=0
reader_availability: 0.05698204040527344 ms; count=1; bytes=0
connection_query: 115.05603790283203 ms; count=2; bytes=0
teach_analysis: 6.004095077514648 ms; count=1; bytes=0
reader_availability: 0.05698204040527344 ms; count=1; bytes=0
connection_query: 114.73000049591064 ms; count=2; bytes=0
teach_analysis: 6.125926971435547 ms; count=1; bytes=0
reader_availability: 0.05507469177246094 ms; count=1; bytes=0
connection_query: 115.8989667892456 ms; count=2; bytes=0
teach_analysis: 6.474971771240234 ms; count=1; bytes=0
reader_availability: 0.05698204040527344 ms; count=1; bytes=0
connection_query: 117.50805377960205 ms; count=2; bytes=0
teach_analysis: 24.69789981842041 ms; count=1; bytes=0
reader_availability: 0.10406970977783203 ms; count=1; bytes=0
connection_query: 117.89000034332275 ms; count=2; bytes=0
teach_analysis: 5.982041358947754 ms; count=1; bytes=0
reader_availability: 0.05698204040527344 ms; count=1; bytes=0
connection_query: 113.81399631500244 ms; count=2; bytes=0
teach_analysis: 5.968928337097168 ms; count=1; bytes=0
reader_availability: 0.06103515625 ms; count=1; bytes=0
reader_cache_miss: 1103.49702835083 ms; count=1; bytes=0
cached_connection_query: 0.677943229675293 ms; count=0; bytes=0
cached_reader_availability: 6.528973579406738 ms; count=0; bytes=0
cached_connection_query: 0.17595291137695312 ms; count=0; bytes=0
cached_reader_availability: 5.413055419921875 ms; count=0; bytes=0
cached_connection_query: 0.14591217041015625 ms; count=0; bytes=0
cached_reader_availability: 5.288958549499512 ms; count=0; bytes=0
cached_connection_query: 0.11801719665527344 ms; count=0; bytes=0
cached_reader_availability: 5.447983741760254 ms; count=0; bytes=0
cached_connection_query: 0.14197826385498047 ms; count=0; bytes=0
cached_reader_availability: 5.264997482299805 ms; count=0; bytes=0
cached_connection_query: 0.1430511474609375 ms; count=0; bytes=0
cached_reader_availability: 5.244016647338867 ms; count=0; bytes=0
cached_connection_query: 0.13709068298339844 ms; count=0; bytes=0
cached_reader_availability: 5.4579973220825195 ms; count=0; bytes=0
cached_connection_query: 0.1430511474609375 ms; count=0; bytes=0
cached_reader_availability: 5.170941352844238 ms; count=0; bytes=0
cached_connection_query: 0.13005733489990234 ms; count=0; bytes=0
cached_reader_availability: 5.132079124450684 ms; count=0; bytes=0
cached_connection_query: 0.11706352233886719 ms; count=0; bytes=0
cached_reader_availability: 5.3070783615112305 ms; count=0; bytes=0
cached_connection_query: 0.1220703125 ms; count=0; bytes=0
cached_reader_availability: 5.138993263244629 ms; count=0; bytes=0
cached_connection_query: 0.12004375457763672 ms; count=0; bytes=0
cached_reader_availability: 5.114912986755371 ms; count=0; bytes=0
cached_connection_query: 0.11408329010009766 ms; count=0; bytes=0
cached_reader_availability: 5.318999290466309 ms; count=0; bytes=0
cached_connection_query: 0.1380443572998047 ms; count=0; bytes=0
cached_reader_availability: 5.21695613861084 ms; count=0; bytes=0
cached_connection_query: 0.10907649993896484 ms; count=0; bytes=0
cached_reader_availability: 5.156993865966797 ms; count=0; bytes=0
cached_connection_query: 0.1100301742553711 ms; count=0; bytes=0
cached_reader_availability: 5.370020866394043 ms; count=0; bytes=0
cached_connection_query: 0.12302398681640625 ms; count=0; bytes=0
cached_reader_availability: 5.15902042388916 ms; count=0; bytes=0
cached_connection_query: 0.11992454528808594 ms; count=0; bytes=0
cached_reader_availability: 5.1059722900390625 ms; count=0; bytes=0
cached_connection_query: 0.1100301742553711 ms; count=0; bytes=0
cached_reader_availability: 5.279064178466797 ms; count=0; bytes=0
cached_connection_query: 0.12803077697753906 ms; count=0; bytes=0
cached_reader_availability: 5.174040794372559 ms; count=0; bytes=0
reopened_connection_snapshot: 1107.2160005569458 ms; count=0; bytes=0
production_validated_generation: 2016.5239572525024 ms; count=90; bytes=0
production_validated_persistence: 96.15600109100342 ms; count=90; bytes=2022420
       13.38 real        12.47 user         0.14 sys
time: sysctl kern.clockrate: Operation not permitted
