question_generation: 1923.5659837722778 ms; count=90; bytes=0
initial_raw_persistence: 19.11795139312744 ms; count=1; bytes=0
admission_and_persistence: 1632.539987564087 ms; count=90; bytes=0
raw_persistence: 44.836997985839844 ms; count=90; bytes=2022420
snapshot_decode: 22.81796932220459 ms; count=90; bytes=2022420
document_open: 112.09297180175781 ms; count=90; bytes=2022420
snapshot_decode: 24.513959884643555 ms; count=90; bytes=2022420
document_open: 66.9410228729248 ms; count=90; bytes=2022420
snapshot_decode: 21.577000617980957 ms; count=90; bytes=2022420
document_open: 64.00692462921143 ms; count=90; bytes=2022420
snapshot_decode: 21.12400531768799 ms; count=90; bytes=2022420
document_open: 64.62502479553223 ms; count=90; bytes=2022420
snapshot_decode: 21.618962287902832 ms; count=90; bytes=2022420
document_open: 64.44406509399414 ms; count=90; bytes=2022420
snapshot_decode: 21.03602886199951 ms; count=90; bytes=2022420
document_open: 64.2850399017334 ms; count=90; bytes=2022420
snapshot_decode: 21.28899097442627 ms; count=90; bytes=2022420
document_open: 63.880085945129395 ms; count=90; bytes=2022420
snapshot_decode: 21.28899097442627 ms; count=90; bytes=2022420
document_open: 64.36598300933838 ms; count=90; bytes=2022420
snapshot_decode: 21.321892738342285 ms; count=90; bytes=2022420
document_open: 64.1089677810669 ms; count=90; bytes=2022420
snapshot_decode: 21.468043327331543 ms; count=90; bytes=2022420
document_open: 64.82100486755371 ms; count=90; bytes=2022420
connection_index: 898.5849618911743 ms; count=314; bytes=0
connection_query: 113.4040355682373 ms; count=2; bytes=0
teach_analysis: 6.728053092956543 ms; count=1; bytes=0
reader_availability: 0.055909156799316406 ms; count=1; bytes=0
connection_query: 112.0990514755249 ms; count=2; bytes=0
teach_analysis: 6.000995635986328 ms; count=1; bytes=0
reader_availability: 0.054955482482910156 ms; count=1; bytes=0
connection_query: 111.67597770690918 ms; count=2; bytes=0
teach_analysis: 6.217002868652344 ms; count=1; bytes=0
reader_availability: 0.06699562072753906 ms; count=1; bytes=0
connection_query: 114.63701725006104 ms; count=2; bytes=0
teach_analysis: 6.104946136474609 ms; count=1; bytes=0
reader_availability: 0.05602836608886719 ms; count=1; bytes=0
connection_query: 113.44599723815918 ms; count=2; bytes=0
teach_analysis: 6.000995635986328 ms; count=1; bytes=0
reader_availability: 0.055909156799316406 ms; count=1; bytes=0
connection_query: 113.54410648345947 ms; count=2; bytes=0
teach_analysis: 5.971074104309082 ms; count=1; bytes=0
reader_availability: 0.05996227264404297 ms; count=1; bytes=0
connection_query: 113.0150556564331 ms; count=2; bytes=0
teach_analysis: 5.95402717590332 ms; count=1; bytes=0
reader_availability: 0.05507469177246094 ms; count=1; bytes=0
connection_query: 112.88988590240479 ms; count=2; bytes=0
teach_analysis: 5.908966064453125 ms; count=1; bytes=0
reader_availability: 0.05602836608886719 ms; count=1; bytes=0
connection_query: 113.17002773284912 ms; count=2; bytes=0
teach_analysis: 6.13093376159668 ms; count=1; bytes=0
reader_availability: 0.05698204040527344 ms; count=1; bytes=0
connection_query: 112.60592937469482 ms; count=2; bytes=0
teach_analysis: 5.997061729431152 ms; count=1; bytes=0
reader_availability: 0.05602836608886719 ms; count=1; bytes=0
connection_query: 113.99996280670166 ms; count=2; bytes=0
teach_analysis: 5.964994430541992 ms; count=1; bytes=0
reader_availability: 0.06008148193359375 ms; count=1; bytes=0
connection_query: 113.13807964324951 ms; count=2; bytes=0
teach_analysis: 6.354928016662598 ms; count=1; bytes=0
reader_availability: 0.06902217864990234 ms; count=1; bytes=0
connection_query: 113.95704746246338 ms; count=2; bytes=0
teach_analysis: 6.0509443283081055 ms; count=1; bytes=0
reader_availability: 0.05710124969482422 ms; count=1; bytes=0
connection_query: 113.11602592468262 ms; count=2; bytes=0
teach_analysis: 5.931973457336426 ms; count=1; bytes=0
reader_availability: 0.054955482482910156 ms; count=1; bytes=0
connection_query: 112.89393901824951 ms; count=2; bytes=0
teach_analysis: 6.106972694396973 ms; count=1; bytes=0
reader_availability: 0.05996227264404297 ms; count=1; bytes=0
connection_query: 112.67709732055664 ms; count=2; bytes=0
teach_analysis: 6.090044975280762 ms; count=1; bytes=0
reader_availability: 0.05710124969482422 ms; count=1; bytes=0
connection_query: 113.53003978729248 ms; count=2; bytes=0
teach_analysis: 6.149053573608398 ms; count=1; bytes=0
reader_availability: 0.05805492401123047 ms; count=1; bytes=0
connection_query: 114.85099792480469 ms; count=2; bytes=0
teach_analysis: 6.145954132080078 ms; count=1; bytes=0
reader_availability: 0.05710124969482422 ms; count=1; bytes=0
connection_query: 116.87493324279785 ms; count=2; bytes=0
teach_analysis: 6.096005439758301 ms; count=1; bytes=0
reader_availability: 0.05793571472167969 ms; count=1; bytes=0
connection_query: 114.72010612487793 ms; count=2; bytes=0
teach_analysis: 6.906032562255859 ms; count=1; bytes=0
reader_availability: 0.054001808166503906 ms; count=1; bytes=0
reader_cache_miss: 1078.4610509872437 ms; count=1; bytes=0
cached_connection_query: 0.5949735641479492 ms; count=0; bytes=0
cached_reader_availability: 5.418062210083008 ms; count=0; bytes=0
cached_connection_query: 0.1310110092163086 ms; count=0; bytes=0
cached_reader_availability: 5.18798828125 ms; count=0; bytes=0
cached_connection_query: 0.13899803161621094 ms; count=0; bytes=0
cached_reader_availability: 5.156993865966797 ms; count=0; bytes=0
cached_connection_query: 0.11396408081054688 ms; count=0; bytes=0
cached_reader_availability: 5.235910415649414 ms; count=0; bytes=0
cached_connection_query: 0.1380443572998047 ms; count=0; bytes=0
cached_reader_availability: 5.1239728927612305 ms; count=0; bytes=0
cached_connection_query: 0.11408329010009766 ms; count=0; bytes=0
cached_reader_availability: 5.301952362060547 ms; count=0; bytes=0
cached_connection_query: 0.14495849609375 ms; count=0; bytes=0
cached_reader_availability: 5.403041839599609 ms; count=0; bytes=0
cached_connection_query: 0.15103816986083984 ms; count=0; bytes=0
cached_reader_availability: 5.291104316711426 ms; count=0; bytes=0
cached_connection_query: 0.12290477752685547 ms; count=0; bytes=0
cached_reader_availability: 5.22005558013916 ms; count=0; bytes=0
cached_connection_query: 0.11599063873291016 ms; count=0; bytes=0
cached_reader_availability: 5.4160356521606445 ms; count=0; bytes=0
cached_connection_query: 0.1310110092163086 ms; count=0; bytes=0
cached_reader_availability: 5.137920379638672 ms; count=0; bytes=0
cached_connection_query: 0.11897087097167969 ms; count=0; bytes=0
cached_reader_availability: 5.128026008605957 ms; count=0; bytes=0
cached_connection_query: 0.11098384857177734 ms; count=0; bytes=0
cached_reader_availability: 5.291938781738281 ms; count=0; bytes=0
cached_connection_query: 0.12099742889404297 ms; count=0; bytes=0
cached_reader_availability: 5.117058753967285 ms; count=0; bytes=0
cached_connection_query: 0.1169443130493164 ms; count=0; bytes=0
cached_reader_availability: 5.128026008605957 ms; count=0; bytes=0
cached_connection_query: 0.11098384857177734 ms; count=0; bytes=0
cached_reader_availability: 5.256056785583496 ms; count=0; bytes=0
cached_connection_query: 0.12493133544921875 ms; count=0; bytes=0
cached_reader_availability: 5.106925964355469 ms; count=0; bytes=0
cached_connection_query: 0.11110305786132812 ms; count=0; bytes=0
cached_reader_availability: 5.156993865966797 ms; count=0; bytes=0
cached_connection_query: 0.1119375228881836 ms; count=0; bytes=0
cached_reader_availability: 5.231022834777832 ms; count=0; bytes=0
cached_connection_query: 0.13399124145507812 ms; count=0; bytes=0
cached_reader_availability: 5.120038986206055 ms; count=0; bytes=0
reopened_connection_snapshot: 21.093010902404785 ms; count=0; bytes=0
production_validated_generation: 2113.3660078048706 ms; count=90; bytes=0
production_validated_persistence: 104.83598709106445 ms; count=90; bytes=2022420
